id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21177190,Spacious room in SHIDA night market monthly rental,130827969,Wenchi,,大安區,25.024086724023267,121.52907706885945,Private room,525,30,1,2018-06-08,0.17,41,299
21180149,"Freebird Family Condo 1- 1分鐘到西門捷運站,步行街上,寬敞三房,6~16人",7662932,Eric,,萬華區,25.042645685765287,121.50701536860365,Entire home/apt,4940,1,56,2018-11-02,4.06,34,306
21180462,西門站 六號出口 電梯大樓 獨立出入 雙人帶衛浴設備 套房  地點便利 台北車站步行 5~10分鐘,50868172,Becky,,萬華區,25.0424844098141,121.50755515283768,Private room,1142,1,28,2018-11-05,2.02,3,88
21192527,MRT Liuzhangli 350M Far Eastern Anhe RoomA,42111762,Pei Hsuan,,大安區,25.024222316299706,121.54974725053181,Entire home/apt,1420,2,50,2018-11-03,3.74,3,186
21192652,Homie日租套房(B53)--鄰近小巨蛋時尚小套房 南京商圈住宿首選,153057224,Vicky,,松山區,25.05035966314044,121.55666078236592,Private room,2007,1,9,2018-10-07,0.75,7,46
21192956,MRT Liuzhangli 350M Far Eastern Anhe RoomB,42111762,Pei Hsuan,,大安區,25.028943556917273,121.54857992980831,Entire home/apt,1389,2,40,2018-11-20,3.29,3,157
21193200,MRT忠孝新生/華山1914八德A/近東區､西門町､台北車站､捷運板南線､華山藝文,42111762,Pei Hsuan,,中正區,25.04496268636882,121.53132811800575,Entire home/apt,1389,2,51,2018-11-06,4.35,3,193
21193455,鄰近公館捷運站《台大本館》標準雙人房Standard Double Room 4FA 短期月租,145922239,公司,,文山區,25.00851154967933,121.53763950343206,Private room,895,30,0,,,3,364
21193695,鄰近捷運公館站《台大本館》溫馨雙人房 Warm Double Room 短期月租,145922239,公司,,文山區,25.008252258755846,121.53797668395264,Private room,895,30,0,,,3,364
21193918,鄰近公館捷運站《台大本館》標準雙人房Standard Double Room 3FA 短期租屋,145922239,公司,,文山區,25.010413222550977,121.53707332899226,Private room,895,30,0,,,3,364
21194226,"西門站附近,主題式精緻高级双人间(免費WiFi,24小時櫃檯,貼心備品)",86463157,Longstayhotel,,萬華區,25.04690646795515,121.50799588080277,Private room,1883,1,0,,,1,44
21194284,Homie日租套房(B55)--鄰近小巨蛋時尚小套房 南京商圈住宿首選,153057224,Vicky,,松山區,25.05212174839714,121.55555729529723,Private room,2192,1,2,2018-01-21,0.19,7,0
21195152,Warm and sweet home in Taipei,46662834,Grace,,松山區,25.048022192442854,121.55971807271486,Private room,988,2,26,2018-11-11,2.27,1,161
21195700,한국어 ㅇㅋ限时3天超赞房东下楼即可搭捷运台北车站50平米 11月最后优惠超低价 蒂芬尼超大双床房,111279993,Uni,,大同區,25.049458143196585,121.51772550086953,Entire home/apt,1945,2,54,2018-11-04,3.96,10,325
21198485,"Taipei 101 (King Size Bed Room), 101 MRT 6 min",58843559,Luke,,信義區,25.02791134746817,121.56004588968177,Private room,803,1,85,2018-11-19,6.14,1,161
21198646,"西門町,捷運站走路3分鐘,台北市中心,電梯房,免費寄存行李",110217908,Ada,,萬華區,25.041077735869358,121.50598398358365,Entire home/apt,988,1,13,2018-10-10,1.56,10,346
21207242,舒適公寓-晶華商圈,22887900,蜜莉,,中山區,25.05393745524767,121.52533461340299,Entire home/apt,803,28,38,2018-11-16,3.37,1,71
21209576,"3月到6月10%折扣住四天再折5%,7月到9月15%折扣,青青部屋,四到六人電梯大廈",16947940,Akira,,萬華區,25.04556431857357,121.50568832489924,Entire home/apt,2408,2,8,2018-08-16,0.65,10,345
21210325,欣式小鋪,145583908,Frank,,大同區,25.068858272071203,121.51931774418155,Private room,21610,1,0,,,1,0
21214269,青青部屋 .寬敞四人房,17149422,Rich,,萬華區,25.044738046540864,121.50746366160523,Entire home/apt,2408,2,3,2018-11-26,1.07,5,327
21218731,"景觀豪華公寓(9樓)適合4-8人住宿,搭車5分鐘到101大樓,室內180平方公尺大空間",70103459,Jenny,,信義區,25.037374676237533,121.58281204091642,Entire home/apt,15806,1,13,2018-10-12,0.99,9,322
21220106,Homie日租套房(B62)--鄰近小巨蛋時尚小套房 南京商圈住宿首選,153057224,Vicky,,松山區,25.050772946512275,121.55546540386851,Private room,2192,1,1,2018-01-01,0.09,7,84
21225562,Taipei station Apartmento offshore,131013261,Ni,,中正區,25.04675253417716,121.51651138538963,Private room,1791,2,8,2018-11-05,0.59,3,67
21228606,西門町4人房獨立衛浴 Ximen Private bathroom,22937810,Cindy,,萬華區,25.04190228527255,121.50132269452769,Private room,1142,1,2,2018-08-13,0.14,50,362
21236399,近台北車站.溫馨的家.機場捷運.明亮採光.提供免費車位(預約制),34417624,Ryan,,中正區,25.04679137747692,121.51694938042625,Entire home/apt,1791,2,57,2018-11-10,4.19,6,124
21236621,MRT台北車站#北城景觀#MUJI#Kingsize大床#4~6人房#更衣間#大客廳,124956838,Esther,,中正區,25.04729783939615,121.5156702608758,Entire home/apt,4291,2,5,2018-02-04,0.40,12,53
21237407,Love Taipei H2愛台北/Luxury/Taipei 101/捷運市政府站/入住1-2人,115798819,在家 At Home,,信義區,25.041935735052398,121.56693560535892,Entire home/apt,1883,1,62,2018-11-20,4.49,64,63
21239235,特價!Taipei HowFun臺北好房 MRT 101 Perfect location!!,147907752,Jirl,,信義區,25.03646030567849,121.56029362395778,Entire home/apt,803,2,18,2018-02-27,1.30,1,0
21241025,台北西門徒步區SuperGreatLocation@Ximen MRT Apt6 E電梯大樓,15284164,Noelle,,萬華區,25.044414340773955,121.5080752028981,Entire home/apt,1698,2,15,2018-11-07,1.36,6,128
21245240,日式渡假房,9243312,7italy(七號義大利),,信義區,25.01980305112247,121.55745677353006,Private room,1791,1,1,2017-12-10,0.08,4,321
21245844,[Taipei  journey617] MRT Zhongshan station Studio,57698182,Taipei Journey,,中山區,25.053457199321997,121.52609497643482,Entire home/apt,1389,1,5,2018-10-10,0.43,50,64
21245845,[Taipei  journey612] MRT Zhongshan station Studio,57698182,Taipei Journey,,中山區,25.0531924861984,121.52551515481724,Entire home/apt,1451,1,3,2018-08-12,0.74,50,69
21245847,[Taipei  journey610] MRT Zhongshan station Studio,57698182,Taipei Journey,,中山區,25.055210344379667,121.5262597055545,Entire home/apt,1482,1,7,2018-08-19,0.56,50,67
21245848,[Taipei  journey609] MRT Zhongshan station Studio,57698182,Taipei Journey,,中山區,25.05443985244353,121.52640104545175,Entire home/apt,1081,1,5,2018-10-06,0.53,50,76
21245849,[Taipei  journey608] MRT Zhongshan station Studio,57698182,Taipei Journey,,中山區,25.054636346735794,121.52462469084942,Entire home/apt,1173,1,21,2018-11-10,1.91,50,71
21245850,[Taipei  journey607] MRT Zhongshan station Studio,57698182,Taipei Journey,,中山區,25.0525558562221,121.52418643976203,Entire home/apt,1111,1,14,2018-11-05,2.47,50,56
21245851,[Taipei  journey606] MRT Zhongshan station Studio,57698182,Taipei Journey,,中山區,25.052390896679295,121.52540384350391,Entire home/apt,1297,1,10,2018-04-06,0.84,50,84
21246281,"西門町-Sunny House捷運北門站3分鐘,電梯､乾淨､溫馨､舒適､明亮､景觀佳,價格最優｡",16267968,Meiming,,萬華區,25.045963730776055,121.50683199307284,Entire home/apt,1883,2,39,2018-11-11,2.91,1,53
21248377,Tony Sweet home,55379170,Tony,,中正區,25.047556779061022,121.5170058518434,Entire home/apt,1235,1,39,2018-09-23,2.95,18,349
21255114,Fun@限時優惠/台北西門町TaipeiXimen/Freewifiegg/2~6人,31499315,Nn,,萬華區,25.04563398331411,121.50226083120292,Entire home/apt,1667,2,51,2018-11-19,3.83,4,291
21256141,Int'l Studio 1 Min Walk To MRT 5 Min To NTNU套房男女皆可,125647931,Adam,,中正區,25.026438049759197,121.52076551820892,Entire home/apt,1544,7,3,2018-02-22,0.24,3,28
21258655,"信義鬧區中的小房｡如果你只要求簡單的睡覺空間,這是很適合的(近世貿/101/君悅飯店/國父紀念館)",148044191,Doreen,,信義區,25.03617641727137,121.56160821575023,Private room,1574,1,15,2018-05-27,1.14,2,89
21274837,"NiNi窩窩#1/MRT3mins位市中心近上引水產,松山機場,花博故宮士林寧夏夜市連續四晚8%優惠",8048108,Whity,,中山區,25.062077641320407,121.54251958297118,Private room,895,2,31,2018-11-11,2.64,4,334
21282063,"景觀豪華公寓(8樓)適合4-8人住宿,搭車5分鐘到101大樓,室內180平方公尺大空間",70103459,Jenny,,信義區,25.036613875011746,121.58315216445871,Entire home/apt,15806,1,7,2018-11-06,0.57,9,323
21283674,Hip & comfortable en-suite (Yongkang / Daan Park),490543,Gary,,大安區,25.028557974453328,121.532777771008,Private room,1791,2,0,,,1,82
21283843,Lady only 限女性 - clean and quiet room in Shilin,153992717,Claire,,士林區,25.083769012047096,121.51925014431765,Private room,617,1,31,2018-11-12,2.29,1,64
21303145,a01.to go back to Taipei-3 peo,145732133,Chang,,大同區,25.05151043951232,121.51427294111804,Private room,864,1,0,,,1,87
21312981,6 beds private> night market & metro 1 min.,50417341,Fun Taipei,,士林區,25.088121720762807,121.52499613984149,Private room,1698,2,3,2018-10-13,0.23,10,169
21315888,Close to Ximending/Near MRT: Annie'S House Taipei,88176347,Annie,,中山區,25.049005127588043,121.53316468489555,Shared room,1605,2,0,,,17,3
21317130,"KR-8北歐藍色森林風格XIMEN(2-18人)獨立衛浴,近西門町MRT,餐廳,接機包車服務",131397941,Design,,萬華區,25.044346532035878,121.5042982742716,Entire home/apt,864,2,22,2018-10-31,1.62,13,139
21317773,Near Ximending/MainStation : Annie'sHouseTaipei,88176347,Annie,,中山區,25.048357447553347,121.53523279975269,Shared room,1605,2,0,,,17,3
21320840,"Freebird Family Condo 2- 1分鐘到西門捷運,新裝潢,步行街上,寬敞三房",7662932,Eric,,萬華區,25.043833078397398,121.50731087493158,Entire home/apt,4044,1,43,2018-10-27,3.24,34,318
21326672,"Near MRT, Close to Ximending  Annie'S House Taipei",88176347,Annie,,中山區,25.05017112010738,121.5329752397398,Shared room,1605,2,0,,,17,3
21327424,Annie'S House Special rate : stay 6 nights 15% off,88176347,Annie,,中山區,25.04974752846594,121.53325721300364,Shared room,587,6,2,2018-05-14,0.26,17,74
21328643,[永康壹柒]Yongkang Street MRT&Shida Night Market 電影風房間,21805293,尚,,大安區,25.027958527767606,121.53034865929972,Private room,1389,1,2,2018-08-23,0.16,6,96
21329029,信义101 东区信义商圈/3分钟捷运站/世贸/南港展览馆/步行可至饶河夜市/公交车直达九份平溪天灯,66688561,Angel,,信義區,25.04219021892595,121.57049543298868,Entire home/apt,2192,3,25,2018-11-19,1.84,7,77
21333611,"【家庭8人房】西門町MrtWalk5min,Eight-person room",118973784,Andy,,萬華區,25.04611844416479,121.50671646826487,Entire home/apt,3272,1,48,2018-11-12,3.91,11,128
21333731,"【甜蜜雙人房】西門町MrtWalk7min,士林夜市,寧夏夜市",118973784,Andy,,萬華區,25.042572680423714,121.50227308240626,Entire home/apt,1266,2,76,2018-11-15,5.60,11,141
21334177,"[Sthira Sukha] Sunlight apt. 市中心的明亮公寓,近國父紀念館､台北小巨蛋",18089405,Hsuan,,松山區,25.04611371161494,121.55406742597512,Private room,1389,1,45,2018-11-10,5.09,1,149
21340043,｢台北杜寓｣:101大楼/观光夜市/文青咖啡馆/各国美食,100326239,政軒,,信義區,25.046684767854433,121.5765889329793,Private room,1605,1,3,2018-04-15,0.24,3,347
21352701,｢台北杜寓优｣:101大楼/观光夜市/文青咖啡馆/各国美食,100326239,政軒,,信義區,25.045677795211184,121.57617734916293,Private room,1605,1,1,2017-12-22,0.09,3,334
21361479,"A Double Bed, night market down stairs but quiet",83232840,Play Taipei,,士林區,25.0892550818565,121.52416360084631,Entire home/apt,1389,2,19,2018-10-11,1.66,10,134
