id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
498484,Cosy apartment in central Kowloon,2460679,Richard,,Yau Tsim Mong,22.321934230042046,114.1621267164637,Entire home/apt,541,4,55,2018-10-28,0.74,1,353
501379,"Quiet, rural outlying island flat",2474113,Graham,,Islands,22.236966150798608,114.11059291179151,Entire home/apt,580,5,30,2017-11-09,0.51,2,0
505456,GREEN NEST IN  SHEUNG WAN HEART,1189239,Audrey,,Central & Western,22.28355880508644,114.14835420908396,Entire home/apt,877,1,168,2018-11-09,2.15,1,216
528287,The  best area in  HONG KONG !,745577,Tiziana,,Yau Tsim Mong,22.298635481568365,114.17304370736625,Private room,603,2,250,2018-11-06,3.21,1,335
529501,Huge 3BDR + 2Toilets 6-10ppl Jordan,2601704,Eddy,,Yau Tsim Mong,22.308219498246793,114.1671524528675,Entire home/apt,1183,2,120,2018-10-23,1.61,4,283
534106,Cosy apartment in the heart of HK!,2625423,Stephanie,,Central & Western,22.284027104179305,114.14191794513408,Entire home/apt,1003,1,12,2015-12-30,0.18,1,0
545658,Great studio in Kennedy Town!,2679225,Adam,,Central & Western,22.282758617379134,114.12848062627451,Entire home/apt,752,5,2,2015-02-15,0.04,1,0
548840,"GreatStudio NewDecor, Nice Area 3rd",808933,J,,Central & Western,22.28504795806837,114.14211445891348,Entire home/apt,580,3,152,2018-10-27,2.00,3,324
554138,bright and (quiet) artist studio,635161,Cedric,,Central & Western,22.283779380395412,114.14759549910048,Entire home/apt,877,2,6,2018-10-14,0.09,1,54
560337,High floor/Bay view in Kowloon !!,2755168,Sonia,,Kowloon City,22.31360587561748,114.18962791886328,Private room,290,3,202,2018-10-22,2.61,1,322
562659,"Spacious studio, 1min from Sogo(A)",2767759,Alfred,,Wan Chai,22.279727740216195,114.18622914781122,Entire home/apt,603,90,1,2018-09-02,0.41,17,290
562683,Standard Mixed Dorm Bed#1,2767794,Check Inn HK,,Wan Chai,22.27787450170807,114.17678408710516,Shared room,282,1,95,2018-11-12,1.29,32,358
562775,Standard Mixed Dorm Bed#2,2767794,Check Inn HK,,Wan Chai,22.27930597856336,114.17662697068499,Shared room,282,1,148,2018-10-24,3.95,32,340
562795,Standard Mixed Dorm Bed#3,2767794,Check Inn HK,,Wan Chai,22.27938854786732,114.1777694165389,Shared room,282,1,37,2018-09-06,0.99,32,365
562808,Standard Mixed Dorm Bed#4,2767794,Check Inn HK,,Wan Chai,22.277621214440543,114.17624144021767,Shared room,282,1,19,2018-10-25,0.52,32,362
562817,Standard Mixed Dorm Bed#A,2767794,Check Inn HK,,Wan Chai,22.27706377289324,114.175890890162,Shared room,282,1,127,2018-10-26,1.66,32,359
562822,Studio w/ private kit. & bath. (B) ,2767759,Alfred,,Wan Chai,22.279176119839644,114.18596968122307,Entire home/apt,650,90,11,2013-03-02,0.14,17,196
562840,Standard Mixed Dorm Bed#B,2767794,Check Inn HK,,Wan Chai,22.277594384529138,114.17671059586847,Shared room,282,1,26,2018-11-08,0.34,32,365
562859,Grand convenient studio! (C),2767759,Alfred,,Wan Chai,22.279139839823674,114.18471598154782,Entire home/apt,603,120,3,2012-12-11,0.04,17,243
578652,Modern family-friendly suite in fishing village,2846701,Veronica,,Islands,22.253861330910095,113.86400167093457,Private room,1763,1,3,2018-05-01,0.07,4,26
585981,3 Bedrooms (SK3) Centrally located ,1529119,Eric,,Wan Chai,22.278905996908737,114.1716586727611,Entire home/apt,1629,3,177,2018-11-06,2.31,2,312
586083,Budget Studio1-5p Tsim Sha Tsui MTR,1991696,Gigi,,Yau Tsim Mong,22.29846036522444,114.17233495869905,Entire home/apt,447,1,262,2018-10-23,3.45,3,264
597390,"HoiShing Hotel, Jordan, Kowloon, HK",2953879,Biosze,,Yau Tsim Mong,22.304948718092884,114.17253263418405,Private room,4998,1,24,2018-10-05,0.32,6,359
603049,Deluxe Room@Espace Elastique-Tai O,2846701,Veronica,,Islands,22.255926452028476,113.86182674263169,Private room,1152,1,19,2018-10-04,0.35,4,32
603050,Standard Rm@Espace Elastique-Tai O,2846701,Veronica,,Islands,22.254370864741716,113.8637006280857,Private room,877,1,12,2018-06-12,0.19,4,35
603051,"""Lotus""-Zen styled room @Espace Elastique of Tai O",2846701,Veronica,,Islands,22.254092752469784,113.86228354922362,Private room,635,1,43,2018-10-03,0.69,4,28
603232,DISCOVERY BAY - 3 Bedroom apartment,2986287,Tish,,Islands,22.293776130815782,114.01457701650631,Entire home/apt,1496,2,16,2018-11-01,0.27,1,2
604953,"3BR SEAVIEW, AIRPORT & DISNEY  LATE SELF CHK-IN",530880,Jennifer,,Islands,22.30631442922145,114.00861879034488,Entire home/apt,1653,1,129,2018-11-03,1.70,2,154
